evidence_id,skill_id,evidence_text,evidence_type,word_count,char_count,quality_label
ev_synth_1042,mobile-development,Mobile app crashed on launch.,code_snippet,5,29,rejected
ev_synth_1043,cybersecurity-defense,Deployed SIEM log monitoring pipeline using Elastic Security and Snort IDS. Created automated threat detection rules for brute-force attacks and privilege escalation attempts. Conducted SOC 2 compliance audit. Project repo available at https://github.com/student/capstone-repo.,certificate,33,277,approved
ev_synth_1044,data-analysis,"Performed exploratory data analysis on sales transactional data. Handled missing values via KNN imputation, normalized numerical features, and visualized distribution histograms using Matplotlib, Plotly, and SQL window aggregations.",code_repository,28,232,approved
ev_synth_1045,ui-ux-design,Redesigned checkout flow to minimize user friction. Measured a 24% reduction in drop-off rate during user testing. Produced high-fidelity Figma prototypes with auto-layout and interactive variants. Added unit tests with >90% code coverage.,certificate,33,239,approved
ev_synth_1046,database-engineering,Constructed zero-downtime database migration strategy with Flyway. Implemented database connection pooling with PgBouncer and configured multi-AZ streaming replication with automated failover. Project repo available at https://github.com/student/capstone-repo.,code_repository,26,260,approved
ev_synth_1047,devops-ci-cd,Engineered automated GitOps pipeline using ArgoCD and Kubernetes Helm charts. Integrated Vault for secrets management and SonarQube for static code analysis in the pull request pipeline.,code_repository,26,186,approved
ev_synth_1048,cybersecurity-defense,"Deployed SIEM log monitoring pipeline using Elastic Security and Snort IDS. Created automated threat detection rules for brute-force attacks and privilege escalation attempts. Conducted SOC 2 compliance audit. Includes comprehensive README, architecture diagrams, and postman API collection.",code_repository,37,291,approved
ev_synth_1049,data-analysis,Data analysis project. Excel file submitted with one column.,code_snippet,9,60,rejected
ev_synth_1050,devops-ci-cd,Engineered automated GitOps pipeline using ArgoCD and Kubernetes Helm charts. Integrated Vault for secrets management and SonarQube for static code analysis in the pull request pipeline. Project repo available at https://github.com/student/capstone-repo.,certificate,31,254,approved
ev_synth_1051,cloud-architecture,Unconfigured server with open 0.0.0.0/0 security group.,text_note,7,55,rejected
ev_synth_1052,cloud-architecture,"Architected a multi-region AWS cloud infrastructure using Terraform HCL. Configured VPC peering, ALB load balancers, ECS Fargate cluster with auto-scaling, and IAM least-privilege policies. Documented topology with architecture diagrams. Benchmarked performance achieving 99.9% uptime under simulated load test.",certificate,38,311,approved
ev_synth_1053,data-analysis,"Performed exploratory data analysis on sales transactional data. Handled missing values via KNN imputation, normalized numerical features, and visualized distribution histograms using Matplotlib, Plotly, and SQL window aggregations. Benchmarked performance achieving 99.9% uptime under simulated load test.",code_repository,37,306,approved
ev_synth_1054,cloud-architecture,Submitted cloud diagram draft without live deployment proof.,code_snippet,8,60,needs-info
ev_synth_1055,cybersecurity-defense,Ran Nmap scan on local subnet.,code_snippet,6,30,needs-info
ev_synth_1056,data-analysis,Built data-analysis prototype microservice. See repository at https://github.com/student/app-v1.,code_repository,8,96,approved
ev_synth_1057,product-management,"Authored comprehensive Product Requirement Document (PRD) for SaaS analytics tool. Mapped user stories, defined success metrics (ARR, Churn, NPS), conducted 15 user interviews, and prioritized backlog using RICE framework.",project_report,29,222,approved
ev_synth_1058,cybersecurity-defense,Built cybersecurity-defense prototype microservice. See repository at https://github.com/student/app-v1.,project_report,8,104,approved
ev_synth_1059,database-engineering,Constructed zero-downtime database migration strategy with Flyway. Implemented database connection pooling with PgBouncer and configured multi-AZ streaming replication with automated failover. Project repo available at https://github.com/student/capstone-repo.,project_report,26,260,approved
ev_synth_1060,cloud-architecture,AWS login screenshot attached.,text_note,4,30,rejected
ev_synth_1061,cybersecurity-defense,Security note with no threat remediation.,document,6,41,rejected
ev_synth_1062,ai-ml-engineering,Created simple vector embedding script with ChromaDB.,project_report,7,53,needs-info
ev_synth_1063,database-engineering,Wrote SELECT query with JOIN statements.,project_report,6,40,needs-info
ev_synth_1064,cybersecurity-defense,Ran ping command in terminal.,text_note,5,29,rejected
ev_synth_1065,database-engineering,Constructed zero-downtime database migration strategy with Flyway. Implemented database connection pooling with PgBouncer and configured multi-AZ streaming replication with automated failover. Added unit tests with >90% code coverage.,project_report,28,234,approved
ev_synth_1066,ai-ml-engineering,Sample AI text.,text_note,3,15,rejected
ev_synth_1067,database-engineering,Wrote SELECT query with JOIN statements.,code_snippet,6,40,needs-info
ev_synth_1068,mobile-development,Mobile app crashed on launch.,code_snippet,5,29,rejected
ev_synth_1069,product-management,Drafted basic feature list without user story mapping.,transcript,8,54,needs-info
ev_synth_1070,database-engineering,Created single table in SQLite with 3 rows.,document,8,43,rejected
ev_synth_1071,devops-ci-cd,"Built automated CI/CD pipeline using GitHub Actions. Pipeline executes linting, unit tests, Docker container build, security vulnerability scanning with Trivy, container signing with Cosign, and automated deployment to AWS EKS cluster.",certificate,31,235,approved
ev_synth_1072,data-analysis,Copied numbers from Wikipedia without analysis.,code_snippet,6,47,rejected
ev_synth_1073,ai-ml-engineering,Sample AI text.,document,3,15,rejected
ev_synth_1074,ai-ml-engineering,Fine-tuned Llama 3 8B model using QLoRA on custom domain dataset. Quantized model weights to GGUF format and deployed local inference microservice with FastAPI and vLLM.,code_repository,26,169,approved
ev_synth_1075,product-management,"Managed 6-sprint Agile release cycle in Jira. Defined sprint velocity KPIs, tracked burndown charts, and facilitated daily standups and retrospectives achieving 98% sprint commitment completion. Validated against industry standard security guidelines.",certificate,31,251,approved
ev_synth_1076,database-engineering,SQL query with syntax error.,code_snippet,5,28,rejected
ev_synth_1077,product-management,Product note without specs.,code_snippet,4,27,rejected
ev_synth_1078,product-management,Idea notebook with two bullet points.,document,6,37,rejected
ev_synth_1079,devops-ci-cd,"Built automated CI/CD pipeline using GitHub Actions. Pipeline executes linting, unit tests, Docker container build, security vulnerability scanning with Trivy, container signing with Cosign, and automated deployment to AWS EKS cluster.",certificate,31,235,approved
ev_synth_1080,cloud-architecture,"This is a comprehensive report on cloud-architecture. I studied how cloud-architecture works by reading online articles and documentation. I understand concepts like deployment, data, python, and cloud architecture, but did not write code.",code_snippet,33,239,rejected
ev_synth_1081,product-management,Thought of a cool app idea.,code_snippet,6,27,rejected
ev_synth_1082,python-programming,Submitted a single script without setup instructions or dependency file.,transcript,10,72,needs-info
ev_synth_1083,devops-ci-cd,Pipeline exists but lacks security scanning and deployment automation.,code_snippet,9,70,needs-info
ev_synth_1084,database-engineering,Created basic ER diagram draft.,transcript,5,31,needs-info
ev_synth_1085,product-management,"Managed 6-sprint Agile release cycle in Jira. Defined sprint velocity KPIs, tracked burndown charts, and facilitated daily standups and retrospectives achieving 98% sprint commitment completion. Validated against industry standard security guidelines.",certificate,31,251,approved
ev_synth_1086,database-engineering,"Designed normalized PostgreSQL relational schema (3NF) for e-commerce backend. Built composite B-Tree and GIN indexing strategies, optimized slow queries using EXPLAIN ANALYZE reducing latency by 78%, and configured Redis caching.",project_report,30,230,approved
ev_synth_1087,cloud-architecture,"Architected a multi-region AWS cloud infrastructure using Terraform HCL. Configured VPC peering, ALB load balancers, ECS Fargate cluster with auto-scaling, and IAM least-privilege policies. Documented topology with architecture diagrams. Includes comprehensive README, architecture diagrams, and postman API collection.",project_report,38,319,approved
ev_synth_1088,devops-ci-cd,Set up bash script for deployment without secret protection.,transcript,9,60,needs-info
ev_synth_1089,python-programming,"This is a comprehensive report on python-programming. I studied how python-programming works by reading online articles and documentation. I understand concepts like deployment, data, python, and cloud architecture, but did not write code.",document,33,239,rejected
ev_synth_1090,data-analysis,Cleaned CSV file and removed empty rows using Python.,project_report,9,53,needs-info
ev_synth_1091,python-programming,Copy pasted python script from stackoverflow without understanding how it works.,code_snippet,11,80,rejected
ev_synth_1092,ui-ux-design,Screenshots of another app downloaded from Pinterest.,code_snippet,7,53,rejected
ev_synth_1093,data-analysis,Created a basic bar chart of monthly active users but missing statistical methodology.,project_report,13,86,needs-info
ev_synth_1094,devops-ci-cd,Shell script with broken syntax.,code_snippet,5,32,rejected
ev_synth_1095,ui-ux-design,Redesigned checkout flow to minimize user friction. Measured a 24% reduction in drop-off rate during user testing. Produced high-fidelity Figma prototypes with auto-layout and interactive variants.,project_report,26,197,approved
ev_synth_1096,mobile-development,Created basic 2-screen React Native demo app.,transcript,7,45,needs-info
ev_synth_1097,cybersecurity-defense,"Conducted penetration testing and security vulnerability assessment on web application. Identified OWASP Top 10 vulnerabilities (SQLi, XSS, SSRF), configured WAF rules, and implemented zero-trust RBAC authorization policies. Validated against industry standard security guidelines.",project_report,33,281,approved
ev_synth_1098,product-management,Product note without specs.,code_snippet,4,27,rejected
ev_synth_1099,devops-ci-cd,Shell script with broken syntax.,code_snippet,5,32,rejected
ev_synth_1100,mobile-development,"Developed cross-platform mobile application using Flutter and Dart with BLoC state management. Integrated offline-first SQLite database synchronization, push notifications, and automated CI/CD build distribution via Fastlane.",project_report,26,225,approved
ev_synth_1101,mobile-development,Flutter template app run on simulator screenshot.,text_note,7,49,rejected
ev_synth_1102,cloud-architecture,Did some cloud stuff last week.,code_snippet,6,31,rejected
ev_synth_1103,devops-ci-cd,Build failed but code runs on my machine.,code_snippet,8,41,rejected
ev_synth_1104,ai-ml-engineering,Sample AI text.,code_snippet,3,15,rejected
ev_synth_1105,product-management,"This is a comprehensive report on product-management. I studied how product-management works by reading online articles and documentation. I understand concepts like deployment, data, python, and cloud architecture, but did not write code.",text_note,33,239,rejected
ev_synth_1106,ui-ux-design,"Created responsive web interface prototype for SaaS product. Built design tokens, typography scale, responsive grid layouts, and interactive micro-animations. Documented user journey maps, empathy maps, and user persona research. Includes comprehensive README, architecture diagrams, and postman API collection.",certificate,38,311,approved
ev_synth_1107,database-engineering,Constructed zero-downtime database migration strategy with Flyway. Implemented database connection pooling with PgBouncer and configured multi-AZ streaming replication with automated failover.,certificate,21,192,approved
ev_synth_1108,ui-ux-design,Redesigned checkout flow to minimize user friction. Measured a 24% reduction in drop-off rate during user testing. Produced high-fidelity Figma prototypes with auto-layout and interactive variants.,project_report,26,197,approved
ev_synth_1109,devops-ci-cd,Hardcoded passwords stored in public repository.,document,6,48,rejected
ev_synth_1110,ui-ux-design,"Created responsive web interface prototype for SaaS product. Built design tokens, typography scale, responsive grid layouts, and interactive micro-animations. Documented user journey maps, empathy maps, and user persona research.",project_report,29,229,approved
ev_synth_1111,python-programming,Created a python function to compute fibonacci numbers.,transcript,8,55,needs-info
ev_synth_1112,data-analysis,Exported raw dataset without insights or summary conclusion.,transcript,8,60,needs-info
ev_synth_1113,cloud-architecture,Submitted cloud diagram draft without live deployment proof.,project_report,8,60,needs-info
ev_synth_1114,ai-ml-engineering,Sample AI text.,document,3,15,rejected
ev_synth_1115,mobile-development,Created basic 2-screen React Native demo app.,transcript,7,45,needs-info
ev_synth_1116,mobile-development,App icon image.,text_note,3,15,rejected
ev_synth_1117,devops-ci-cd,Set up bash script for deployment without secret protection.,project_report,9,60,needs-info
ev_synth_1118,mobile-development,Created basic 2-screen React Native demo app.,transcript,7,45,needs-info
ev_synth_1119,data-analysis,"Analyzed customer churn dataset (100k rows) using Pandas, SciPy, and Seaborn. Built a logistic regression and Random Forest classifier in scikit-learn achieving 0.88 ROC-AUC score. Summary interactive dashboard created in Streamlit with SQL query integration.",certificate,35,259,approved
ev_synth_1120,mobile-development,"This is a comprehensive report on mobile-development. I studied how mobile-development works by reading online articles and documentation. I understand concepts like deployment, data, python, and cloud architecture, but did not write code.",text_note,33,239,rejected
ev_synth_1121,product-management,"Managed 6-sprint Agile release cycle in Jira. Defined sprint velocity KPIs, tracked burndown charts, and facilitated daily standups and retrospectives achieving 98% sprint commitment completion. Added unit tests with >90% code coverage.",code_repository,32,236,approved
ev_synth_1122,ai-ml-engineering,"Engineered Retrieval-Augmented Generation (RAG) vector search pipline using LangChain, OpenAI embeddings, and PGVector. Achieved sub-200ms semantic retrieval across 50,000 PDF documents with 92% answer precision. Benchmarked performance achieving 99.9% uptime under simulated load test.",project_report,34,286,approved
ev_synth_1123,mobile-development,Mobile app crashed on launch.,text_note,5,29,rejected
ev_synth_1124,devops-ci-cd,Hardcoded passwords stored in public repository.,text_note,6,48,rejected
ev_synth_1125,data-analysis,Sample text without methodology or data findings.,document,7,49,rejected
ev_synth_1126,data-analysis,"Engineered time-series forecasting pipeline using Statsmodels and Prophet. Conducted hypothesis testing (A/B test z-test, ANOVA) and published an executive report with actionable insights for product retention. Project repo available at https://github.com/student/capstone-repo.",certificate,31,278,approved
ev_synth_1127,devops-ci-cd,Build failed but code runs on my machine.,code_snippet,8,41,rejected
ev_synth_1128,product-management,Created simple Trello board.,transcript,4,28,needs-info
ev_synth_1129,data-analysis,Sample text without methodology or data findings.,document,7,49,rejected
ev_synth_1130,cybersecurity-defense,Security note with no threat remediation.,code_snippet,6,41,rejected
ev_synth_1131,python-programming,Random text file with no code or explanation attached.,text_note,9,54,rejected
ev_synth_1132,database-engineering,Initial setup completed for database-engineering. Partial documentation attached.,transcript,8,81,needs-info
ev_synth_1133,ai-ml-engineering,Fine-tuned Llama 3 8B model using QLoRA on custom domain dataset. Quantized model weights to GGUF format and deployed local inference microservice with FastAPI and vLLM. Project repo available at https://github.com/student/capstone-repo.,certificate,31,237,approved
ev_synth_1134,cloud-architecture,Submitted cloud diagram draft without live deployment proof.,code_snippet,8,60,needs-info
ev_synth_1135,mobile-development,Built Flutter UI prototype without backend API integration.,code_snippet,8,59,needs-info
ev_synth_1136,ai-ml-engineering,"Engineered Retrieval-Augmented Generation (RAG) vector search pipeline using LangChain, OpenAI embeddings, and PGVector. Achieved sub-200ms semantic retrieval across 50,000 PDF documents with 92% answer precision. Project repo available at https://github.com/student/capstone-repo.",code_repository,30,281,approved
ev_synth_1137,product-management,Created simple Trello board.,transcript,4,28,needs-info
ev_synth_1138,product-management,"Managed 6-sprint Agile release cycle in Jira. Defined sprint velocity KPIs, tracked burndown charts, and facilitated daily standups and retrospectives achieving 98% sprint commitment completion.",certificate,25,194,approved
ev_synth_1139,cloud-architecture,Submitted cloud diagram draft without live deployment proof.,code_snippet,8,60,needs-info
ev_synth_1140,devops-ci-cd,Set up bash script for deployment without secret protection.,code_snippet,9,60,needs-info
ev_synth_1141,product-management,Created simple Trello board.,code_snippet,4,28,needs-info
ev_synth_1142,database-engineering,"Designed normalized PostgreSQL relational schema (3NF) for e-commerce backend. Built composite B-Tree and GIN indexing strategies, optimized slow queries using EXPLAIN ANALYZE reducing latency by 78%, and configured Redis caching. Benchmarked performance achieving 99.9% uptime under simulated load test.",code_repository,39,304,approved
ev_synth_1143,ai-ml-engineering,Fine-tuned Llama 3 8B model using QLoRA on custom domain dataset. Quantized model weights to GGUF format and deployed local inference microservice with FastAPI and vLLM.,certificate,26,169,approved
ev_synth_1144,cloud-architecture,"This is a comprehensive report on cloud-architecture. I studied how cloud-architecture works by reading online articles and documentation. I understand concepts like deployment, data, python, and cloud architecture, but did not write code.",code_snippet,33,239,rejected
ev_synth_1145,cybersecurity-defense,Drafted basic password policy guideline without technical enforcement.,transcript,8,70,needs-info
ev_synth_1146,python-programming,Hello world test project submission. Nothing else to report.,text_note,9,60,rejected
ev_synth_1147,cybersecurity-defense,Ran ping command in terminal.,code_snippet,5,29,rejected
ev_synth_1148,database-engineering,Constructed zero-downtime database migration strategy with Flyway. Implemented database connection pooling with PgBouncer and configured multi-AZ streaming replication with automated failover. Project repo available at https://github.com/student/capstone-repo.,code_repository,26,260,approved
ev_synth_1149,devops-ci-cd,Pipeline exists but lacks security scanning and deployment automation.,code_snippet,9,70,needs-info
ev_synth_1150,data-analysis,Data analysis project. Excel file submitted with one column.,text_note,9,60,rejected
ev_synth_1151,cybersecurity-defense,Deployed SIEM log monitoring pipeline using Elastic Security and Snort IDS. Created automated threat detection rules for brute-force attacks and privilege escalation attempts. Conducted SOC 2 compliance audit. Benchmarked performance achieving 99.9% uptime under simulated load test.,code_repository,37,283,approved
ev_synth_1152,mobile-development,Created basic 2-screen React Native demo app.,code_snippet,7,45,needs-info
ev_synth_1153,cloud-architecture,"Deployed Kubernetes cluster on Azure AKS. Configured ingress controllers, SSL cert-manager, Helm chart deployments, RBAC policy binding, and Prometheus/Grafana operational metric dashboards.",project_report,22,190,approved
ev_synth_1154,database-engineering,"Constructed zero-downtime database migration strategy with Flyway. Implemented database connection pooling with PgBouncer and configured multi-AZ streaming replication with automated failover. Includes comprehensive README, architecture diagrams, and postman API collection.",project_report,30,274,approved
ev_synth_1155,devops-ci-cd,Shell script with broken syntax.,document,5,32,rejected
ev_synth_1156,ui-ux-design,"Created responsive web interface prototype for SaaS product. Built design tokens, typography scale, responsive grid layouts, and interactive micro-animations. Documented user journey maps, empathy maps, and user persona research. Includes comprehensive README, architecture diagrams, and postman API collection.",certificate,38,311,approved
ev_synth_1157,ai-ml-engineering,"Engineered Retrieval-Augmented Generation (RAG) vector search pipeline using LangChain, OpenAI embeddings, and PGVector. Achieved sub-200ms semantic retrieval across 50,000 PDF documents with 92% answer precision. Validated against industry standard security guidelines.",project_report,31,270,approved
ev_synth_1158,ui-ux-design,I designed a logo in Paint.,code_snippet,6,27,rejected
ev_synth_1159,cloud-architecture,AWS login screenshot attached.,text_note,4,30,rejected
ev_synth_1160,python-programming,I like Python. Python is good. Code works on my machine.,text_note,11,56,rejected
ev_synth_1161,ai-ml-engineering,"Fine-tuned Llama 3 8B model using QLoRA on custom domain dataset. Quantized model weights to GGUF format and deployed local inference microservice with FastAPI and vLLM. Includes comprehensive README, architecture diagrams, and postman API collection.",project_report,35,251,approved
ev_synth_1162,product-management,Created simple Trello board.,transcript,4,28,needs-info
ev_synth_1163,data-analysis,"Engineered time-series forecasting pipeline using Statsmodels and Prophet. Conducted hypothesis testing (A/B test z-test, ANOVA) and published an executive report with actionable insights for product retention. Validated against industry standard security guidelines.",certificate,32,267,approved
ev_synth_1164,cybersecurity-defense,Deployed SIEM log monitoring pipeline using Elastic Security and Snort IDS. Created automated threat detection rules for brute-force attacks and privilege escalation attempts. Conducted SOC 2 compliance audit. Validated against industry standard security guidelines.,certificate,34,266,approved
ev_synth_1165,devops-ci-cd,CI CD readme note with no actual pipeline file.,document,9,47,rejected
ev_synth_1166,product-management,"Managed 6-sprint Agile release cycle in Jira. Defined sprint velocity KPIs, tracked burndown charts, and facilitated daily standups and retrospectives achieving 98% sprint commitment completion. Benchmarked performance achieving 99.9% uptime under simulated load test.",certificate,34,268,approved
ev_synth_1167,product-management,Created simple Trello board.,project_report,4,28,needs-info
ev_synth_1168,python-programming,"Implemented an asynchronous REST API using FastAPI, Pydantic, and SQLAlchemy ORM. Added comprehensive unit tests using Pytest with 95% line coverage. Handled custom exceptions gracefully, implemented JWT bearer auth middleware, and integrated a PostgreSQL connection pool.",project_report,36,272,approved
ev_synth_1169,product-management,"Managed 6-sprint Agile release cycle in Jira. Defined sprint velocity KPIs, tracked burndown charts, and facilitated daily standups and retrospectives achieving 98% sprint commitment completion. Benchmarked performance achieving 99.9% uptime under simulated load test.",certificate,34,268,approved
ev_synth_1170,data-analysis,Created a basic bar chart of monthly active users but missing statistical methodology.,transcript,13,86,needs-info
ev_synth_1171,ui-ux-design,Screenshots of another app downloaded from Pinterest.,code_snippet,7,53,rejected
ev_synth_1172,cybersecurity-defense,Downloaded Wireshark but did not capture packets.,text_note,7,49,rejected
ev_synth_1173,ui-ux-design,Static UI mockups without interactive prototype transitions.,project_report,7,60,needs-info
ev_synth_1174,mobile-development,Initial setup completed for mobile-development. Partial documentation attached.,project_report,8,79,needs-info
ev_synth_1175,mobile-development,"Developed cross-platform mobile application using Flutter and Dart with BLoC state management. Integrated offline-first SQLite database synchronization, push notifications, and automated CI/CD build distribution via Fastlane. Benchmarked performance achieving 99.9% uptime under simulated load test.",code_repository,35,299,approved
ev_synth_1176,mobile-development,"Developed cross-platform mobile application using Flutter and Dart with BLoC state management. Integrated offline-first SQLite database synchronization, push notifications, and automated CI/CD build distribution via Fastlane. Added unit tests with >90% code coverage.",code_repository,33,267,approved
ev_synth_1177,data-analysis,"This is a comprehensive report on data-analysis. I studied how data-analysis works by reading online articles and documentation. I understand concepts like deployment, data, python, and cloud architecture, but did not write code.",document,33,229,rejected
ev_synth_1178,mobile-development,"Developed cross-platform mobile application using Flutter and Dart with BLoC state management. Integrated offline-first SQLite database synchronization, push notifications, and automated CI/CD build distribution via Fastlane.",code_repository,26,225,approved
ev_synth_1179,data-analysis,Copied numbers from Wikipedia without analysis.,text_note,6,47,rejected
ev_synth_1180,database-engineering,Constructed zero-downtime database migration strategy with Flyway. Implemented database connection pooling with PgBouncer and configured multi-AZ streaming replication with automated failover. Project repo available at https://github.com/student/capstone-repo.,certificate,26,260,approved
ev_synth_1181,data-analysis,Data analysis project. Excel file submitted with one column.,text_note,9,60,rejected
ev_synth_1182,mobile-development,"Built native React Native iOS/Android app with TypeScript. Configured navigation routing, camera and geolocation device APIs, and automated TestFlight / Google Play Beta deployments.",project_report,24,182,approved
ev_synth_1183,product-management,Product note without specs.,code_snippet,4,27,rejected
ev_synth_1184,database-engineering,SQL query with syntax error.,text_note,5,28,rejected
ev_synth_1185,cybersecurity-defense,Ran Nmap scan on local subnet.,transcript,6,30,needs-info
ev_synth_1186,devops-ci-cd,"Configured Jenkins pipeline for multi-stage microservice release. Implemented blue-green deployment strategy, automated rollback on canary health failure, and Slack/Teams webhook build alerts.",code_repository,22,192,approved
ev_synth_1187,ai-ml-engineering,"Engineered Retrieval-Augmented Generation (RAG) vector search pipeline using LangChain, OpenAI embeddings, and PGVector. Achieved sub-200ms semantic retrieval across 50,000 PDF documents with 92% answer precision. Added unit tests with >90% code coverage.",certificate,32,255,approved
ev_synth_1188,cybersecurity-defense,Security note with no threat remediation.,text_note,6,41,rejected
